episode,avg_delay
0,0.0
1,1.0
2,2.0
3,3.0
4,2.0
5,2.0
6,2.5294117647058822
7,2.8
8,3.0
9,3.0
10,3.0
11,3.0
12,2.590909090909091
13,1.826086956521739
14,1.7142857142857142
15,2.0
16,3.0
17,3.0
18,2.875
19,2.25
20,2.7
21,3.0
22,3.0
23,2.75
24,2.4285714285714284
25,3.0
26,2.6666666666666665
27,2.923076923076923
28,2.764705882352941
29,2.8
30,2.588235294117647
31,2.6666666666666665
32,3.0
33,2.8333333333333335
34,3.0
35,2.5625
36,2.5833333333333335
37,2.411764705882353
38,2.3333333333333335
39,3.0
40,2.923076923076923
41,3.0
42,2.8823529411764706
43,2.2857142857142856
44,2.1875
45,2.25
46,2.8
47,3.0
48,3.0
49,2.6315789473684212
50,2.5
51,2.1333333333333333
52,1.5454545454545454
53,1.0
54,2.0
55,3.0
56,3.0
57,2.727272727272727
58,2.466666666666667
59,2.1818181818181817
60,3.0
61,2.611111111111111
62,3.0
63,3.0
64,2.6842105263157894
65,2.6
66,2.0
67,2.08
68,2.0
69,1.5909090909090908
70,2.0
71,2.5714285714285716
72,3.0
73,3.0
74,3.0
75,2.411764705882353
76,2.090909090909091
77,2.2857142857142856
78,2.2666666666666666
79,3.0
80,3.0
81,2.7
82,3.0
83,2.75
84,3.0
85,1.9375
86,1.0
87,1.9
88,2.0
89,2.0714285714285716
90,1.8
91,2.0
92,2.8333333333333335
93,2.0303030303030303
94,1.1578947368421053
95,1.0
96,1.391304347826087
97,1.5555555555555556
98,2.0
99,2.066666666666667
100,2.35
101,1.7894736842105263
102,1.5789473684210527
103,1.8571428571428572
104,0.0
105,3.0
106,3.0
107,3.0
108,2.0
109,2.1666666666666665
110,2.5625
111,2.6363636363636362
112,3.0
113,3.0
114,3.0
115,3.0
116,3.0
117,3.0
118,2.9411764705882355
119,2.625
120,2.5555555555555554
121,3.0
122,3.0
123,3.0
124,1.7878787878787878
125,0.0
126,1.9
127,0.0
128,3.0
129,0.0
130,3.0
131,2.0
132,3.0
133,2.0
134,1.8
135,2.0
136,3.0
137,3.0
138,2.230769230769231
139,2.0
140,2.230769230769231
141,3.0
142,3.0
143,3.0
144,2.5652173913043477
145,2.0
146,1.7692307692307692
147,0.0
148,3.0
149,3.0
150,3.0
151,1.9333333333333333
152,1.6923076923076923
153,2.0
154,3.0
155,3.0
156,3.0
157,3.0
158,3.0
159,3.0
160,3.0
161,2.4210526315789473
162,2.5
163,2.75
164,2.8181818181818183
165,3.0
166,3.0
167,2.9411764705882355
168,0.0
169,3.0
170,2.4615384615384617
171,2.5555555555555554
172,2.125
173,2.0555555555555554
174,2.0
175,2.0
176,2.263157894736842
177,2.090909090909091
178,2.0
179,2.0
180,2.6666666666666665
181,3.0
182,3.0
183,2.6875
184,2.466666666666667
185,2.7142857142857144
186,2.25
187,2.1
188,2.857142857142857
189,2.7222222222222223
190,3.0
191,3.0
192,2.411764705882353
193,0.0
194,2.789473684210526
195,0.0
196,3.0
197,2.6153846153846154
198,3.0
199,2.4285714285714284
200,3.0
201,2.8125
202,2.4583333333333335
203,1.6875
204,1.588235294117647
205,2.0
206,2.4615384615384617
207,3.0
208,3.0
209,2.0
210,0.0
211,2.0
212,2.0
213,3.0
214,1.7619047619047619
215,1.125
216,1.7647058823529411
217,1.8095238095238095
218,2.0
219,1.7307692307692308
220,2.0
221,3.0
222,2.9166666666666665
223,3.0
224,2.25
225,2.0
226,2.0
227,3.0
228,2.8
229,0.0
230,2.074074074074074
231,1.8571428571428572
232,1.5
233,2.0
234,2.6363636363636362
235,2.4
236,2.466666666666667
237,2.0
238,0.0
239,3.0
240,3.0
241,3.0
242,2.7142857142857144
243,2.7857142857142856
244,3.0
245,3.0
246,2.875
247,3.0
248,3.0
249,2.909090909090909
250,2.5555555555555554
251,2.0
252,2.15
253,2.0
254,1.72
255,1.5
256,1.9166666666666667
257,2.0
258,2.125
259,2.0
260,2.272727272727273
261,3.0
262,3.0
263,2.5
264,2.25
265,3.0
266,2.9411764705882355
267,3.0
268,3.0
269,2.380952380952381
270,2.2
271,1.7692307692307692
272,2.0
273,2.5454545454545454
274,3.0
275,3.0
276,2.7333333333333334
277,2.875
278,3.0
279,3.0
280,3.0
281,2.5714285714285716
282,3.0
283,2.5416666666666665
284,2.3333333333333335
285,2.5454545454545454
286,2.272727272727273
287,2.6956521739130435
288,2.3333333333333335
289,2.090909090909091
290,1.9259259259259258
291,2.0
292,0.0
293,2.5238095238095237
294,3.0
295,2.2857142857142856
296,2.0
297,2.4545454545454546
298,2.7857142857142856
299,3.0
300,3.0
301,2.6470588235294117
302,2.727272727272727
303,2.888888888888889
304,3.0
305,3.0
306,3.0
307,3.0
308,3.0
309,3.0
310,2.6470588235294117
311,2.5
312,2.6666666666666665
313,2.923076923076923
314,3.0
315,2.08
316,1.5625
317,2.0
318,2.090909090909091
319,3.0
320,3.0
321,2.5714285714285716
322,2.1904761904761907
323,2.0
324,2.111111111111111
325,0.0
326,3.0
327,2.48
328,1.2
329,1.4545454545454546
330,2.0
331,3.0
332,3.0
333,2.9166666666666665
334,2.4545454545454546
335,2.5384615384615383
336,3.0
337,2.5714285714285716
338,2.2857142857142856
339,3.0
340,3.0
341,3.0
342,2.5
343,2.0714285714285716
344,2.1
345,3.0
346,3.0
347,2.6666666666666665
348,2.75
349,3.0
350,2.466666666666667
351,1.7777777777777777
352,1.1333333333333333
353,2.0
354,2.2857142857142856
355,0.0
356,3.0
357,2.533333333333333
358,2.909090909090909
359,2.0
360,2.75
361,3.0
362,3.0
363,1.9090909090909092
364,2.0
365,2.0
366,3.0
367,2.9565217391304346
368,2.076923076923077
369,2.0
370,2.1818181818181817
371,3.0
372,2.6842105263157894
373,2.5
374,2.4166666666666665
375,3.0
376,3.0
377,2.6666666666666665
378,2.2666666666666666
379,2.0
380,3.0
381,3.0
382,3.0
383,2.2857142857142856
384,1.7777777777777777
385,2.0
386,3.0
387,3.0
388,3.0
389,2.3333333333333335
390,2.2
391,3.0
392,3.0
393,2.076923076923077
394,2.0
395,2.1333333333333333
396,3.0
397,3.0
398,2.2222222222222223
399,1.3888888888888888
400,2.0
401,2.1578947368421053
402,2.3333333333333335
403,3.0
404,3.0
405,2.9047619047619047
406,2.5714285714285716
407,3.0
408,2.7857142857142856
409,3.0
410,2.25
411,1.75
412,1.8235294117647058
413,2.0
414,3.0
415,3.0
416,3.0
417,2.2666666666666666
418,2.2222222222222223
419,2.6
420,3.0
421,2.8823529411764706
422,2.7777777777777777
423,3.0
424,2.6875
425,2.857142857142857
426,2.7777777777777777
427,2.5
428,2.357142857142857
429,2.5
430,2.3636363636363638
431,3.0
432,2.736842105263158
433,1.9545454545454546
434,1.9
435,2.0
436,2.076923076923077
437,3.0
438,2.7142857142857144
439,3.0
440,2.8125
441,3.0
442,3.0
443,3.0
444,3.0
445,2.5384615384615383
446,2.6666666666666665
447,2.1724137931034484
448,1.8181818181818181
449,1.8333333333333333
450,2.0
451,3.0
452,3.0
453,3.0
454,2.5
455,3.0
456,2.55
457,1.9473684210526316
458,2.0
459,2.5
460,2.9285714285714284
461,3.0
462,2.4444444444444446
463,3.0
464,2.736842105263158
465,3.0
466,2.5625
467,2.0952380952380953
468,2.0
469,2.2142857142857144
470,2.4166666666666665
471,3.0
472,3.0
473,3.0
474,2.923076923076923
475,3.0
476,2.8333333333333335
477,3.0
478,2.8125
479,3.0
480,2.923076923076923
481,0.0
482,2.9411764705882355
483,2.75
484,3.0
485,2.9166666666666665
486,2.8
487,2.4705882352941178
488,2.076923076923077
489,2.0
490,2.3333333333333335
491,2.5625
