src,dst,success
0,1,3238
0,3,4937
1,2,3737
2,3,4921
2,13,6972
3,4,8588
3,10,4951
4,8,10510
4,11,5678
5,6,2513
5,7,4002
6,9,5345
7,8,7025
8,9,7598
8,12,6145
8,15,8389
9,17,5595
10,11,7649
10,13,5972
11,14,6330
11,15,10330
12,16,4926
12,17,3800
13,14,6412
13,19,6476
13,20,5571
14,18,5721
15,16,7008
15,21,7745
16,22,5095
17,23,5418
18,20,6559
18,21,10270
19,24,3332
20,25,5598
21,26,7611
22,23,4209
22,26,4231
23,27,3060
24,25,2440
26,27,3242
