src,dst,avg_delay,max_delay,count
4,12,2.4513567174056914,5.0,1511
4,5,0.6749633967789166,5.0,2049
2,5,0.7787255393878575,5.0,1993
0,1,0.0,0.0,2048
5,12,0.9182083739045764,5.0,2054
5,9,0.2303060712493728,5.0,1993
4,6,0.41507586882036224,5.0,2043
8,13,0.0014727540500736377,1.0,2037
11,12,0.0,0.0,2056
0,2,0.0,0.0,1988
6,7,0.1999005469915465,5.0,2011
5,11,0.7702233250620347,5.0,2015
9,10,0.23130262506191185,5.0,2019
9,13,0.24643384161337925,5.0,2033
5,7,1.6772334293948126,5.0,1735
6,8,0.9419759539989545,5.0,1913
3,4,0.22952380952380952,5.0,2100
5,8,0.5970660146699267,5.0,2045
2,3,0.7993811242908716,5.0,1939
9,11,0.1502918287937743,5.0,2056
2,7,1.2664948453608247,5.0,1940
5,13,1.1531986531986531,5.0,1782
12,13,0.0,0.0,1991
6,11,2.2632944228274967,5.0,1542
4,9,1.8766344513928368,5.0,1759
5,6,0.7312195121951219,5.0,2050
7,8,0.4206273764258555,5.0,2104
3,11,1.6971022416621104,5.0,1829
4,11,2.9202200825309492,5.0,727
1,4,0.9188911704312115,5.0,1948
3,5,1.4334038054968288,5.0,1892
0,5,0.6310344827586207,5.0,2030
1,6,1.613146551724138,5.0,1856
9,12,0.20960076045627377,5.0,2104
0,7,1.5911161731207288,5.0,1756
8,10,0.0009779951100244498,1.0,2045
1,2,0.0,0.0,1990
6,12,1.7207253886010363,5.0,1930
7,11,0.7274519467718088,5.0,2029
7,12,1.6322269807280514,5.0,1868
0,8,1.1452991452991452,5.0,1989
8,12,0.0010050251256281408,1.0,1990
3,13,1.743421052631579,5.0,1824
2,4,1.6342517558076715,5.0,1851
8,9,0.2822384428223844,5.0,2055
5,10,0.8101071975497703,5.0,1959
10,13,0.0,0.0,2040
8,11,0.0005094243504839531,1.0,1963
3,10,2.0619718309859154,5.0,1775
0,4,0.9554655870445344,5.0,1976
10,12,0.0,0.0,2046
2,6,2.5239294710327456,5.0,1588
6,9,2.0640362225097024,5.0,1546
1,10,1.5058949624866023,5.0,1866
1,5,0.8534136546184738,5.0,1992
2,10,3.0415841584158416,5.0,1010
2,12,2.5565878378378377,5.0,1184
0,10,2.0177587262706673,5.0,1633
6,13,2.587450980392157,5.0,1275
3,7,1.8691646191646192,5.0,1628
6,10,1.3442622950819672,5.0,1952
7,13,1.133846153846154,5.0,1950
1,7,0.9426877470355731,5.0,2024
2,8,3.512121212121212,5.0,990
3,12,1.765834932821497,5.0,1563
0,6,0.9796708615682478,5.0,2066
11,13,0.0,0.0,2126
10,11,0.0,0.0,2040
1,11,3.514851485148515,5.0,1212
7,9,0.7411192214111922,5.0,2055
0,3,0.36019417475728155,5.0,2060
3,6,1.2678107124284972,5.0,1923
0,11,3.3320647002854424,5.0,1051
1,13,3.8395939086294417,5.0,985
7,10,1.2814621409921672,5.0,1915
4,13,2.9635036496350367,5.0,548
4,10,1.9652173913043478,5.0,1725
1,9,2.3753117206982544,5.0,1604
0,9,1.9535864978902953,5.0,1659
4,8,2.704122340425532,5.0,1504
0,12,2.832794830371567,5.0,1238
2,9,2.1472513089005236,5.0,1528
3,8,1.5973813420621932,5.0,1833
1,3,0.36232604373757454,5.0,2012
4,7,1.0039467192895906,5.0,2027
0,13,3.6218708827404478,5.0,759
1,8,2.529201430274136,5.0,1678
1,12,3.0789902280130295,5.0,1228
3,9,2.985051140833989,5.0,1271
2,13,3.5153374233128836,5.0,326
2,11,4.017857142857143,5.0,392
