src,dst,generated,served
0,1,175,175
0,2,177,177
0,3,159,159
0,4,185,184
0,5,167,151
0,6,164,147
0,7,172,152
0,8,165,159
0,9,176,156
0,10,167,167
0,11,191,191
0,12,183,168
0,13,165,165
0,14,189,186
0,15,164,157
0,16,173,160
0,17,175,158
0,18,194,193
0,19,176,174
0,20,168,166
0,21,197,193
0,22,181,166
0,23,180,165
0,24,169,168
0,25,194,193
0,26,167,152
0,27,162,131
1,0,0,0
1,2,183,182
1,3,183,183
1,4,165,163
1,5,191,162
1,6,177,144
1,7,178,149
1,8,183,153
1,9,173,132
1,10,177,177
1,11,175,173
1,12,172,144
1,13,169,169
1,14,198,197
1,15,162,151
1,16,186,152
1,17,181,135
1,18,170,169
1,19,152,151
1,20,160,158
1,21,171,157
1,22,175,149
1,23,183,144
1,24,176,174
1,25,170,168
1,26,191,169
1,27,178,146
2,0,0,0
2,1,0,0
2,3,171,171
2,4,195,195
2,5,175,148
2,6,176,154
2,7,182,156
2,8,195,179
2,9,167,137
2,10,186,186
2,11,180,180
2,12,170,147
2,13,169,169
2,14,178,176
2,15,189,181
2,16,153,144
2,17,177,156
2,18,154,152
2,19,162,160
2,20,184,183
2,21,174,168
2,22,185,161
2,23,188,150
2,24,185,185
2,25,179,178
2,26,167,144
2,27,146,123
3,0,0,0
3,1,0,0
3,2,0,0
3,4,158,158
3,5,164,148
3,6,171,145
3,7,171,157
3,8,161,155
3,9,177,157
3,10,174,173
3,11,177,177
3,12,185,173
3,13,185,184
3,14,178,177
3,15,172,170
3,16,184,174
3,17,169,147
3,18,199,197
3,19,186,186
3,20,166,165
3,21,163,159
3,22,193,157
3,23,167,141
3,24,140,139
3,25,159,158
3,26,184,166
3,27,176,138
4,0,0,0
4,1,0,0
4,2,0,0
4,3,0,0
4,5,166,159
4,6,173,164
4,7,177,174
4,8,184,181
4,9,181,175
4,10,184,182
4,11,172,172
4,12,192,185
4,13,184,183
4,14,172,170
4,15,167,165
4,16,163,161
4,17,149,142
4,18,170,167
4,19,138,135
4,20,183,183
4,21,156,153
4,22,191,173
4,23,178,161
4,24,157,156
4,25,210,202
4,26,171,156
4,27,192,164
5,0,0,0
5,1,0,0
5,2,0,0
5,3,0,0
5,4,0,0
5,6,178,177
5,7,181,179
5,8,159,157
5,9,164,164
5,10,183,161
5,11,182,160
5,12,183,181
5,13,168,141
5,14,178,157
5,15,198,195
5,16,165,165
5,17,200,199
5,18,169,150
5,19,171,144
5,20,175,132
5,21,156,153
5,22,179,176
5,23,180,179
5,24,179,132
5,25,194,151
5,26,193,189
5,27,169,167
6,0,0,0
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,0
6,5,0,0
6,7,168,167
6,8,173,173
6,9,180,179
6,10,186,154
6,11,178,162
6,12,183,180
6,13,175,155
6,14,169,144
6,15,176,175
6,16,181,180
6,17,154,154
6,18,180,151
6,19,174,135
6,20,202,172
6,21,193,189
6,22,180,179
6,23,152,151
6,24,183,142
6,25,189,155
6,26,187,185
6,27,198,196
7,0,0,0
7,1,0,0
7,2,0,0
7,3,0,0
7,4,0,0
7,5,0,0
7,6,0,0
7,8,174,172
7,9,185,183
7,10,164,151
7,11,181,174
7,12,196,195
7,13,161,145
7,14,173,166
7,15,168,167
7,16,182,181
7,17,176,174
7,18,154,149
7,19,191,145
7,20,173,141
7,21,181,180
7,22,181,181
7,23,191,191
7,24,167,133
7,25,184,154
7,26,165,161
7,27,188,187
8,0,0,0
8,1,0,0
8,2,0,0
8,3,0,0
8,4,0,0
8,5,0,0
8,6,0,0
8,7,0,0
8,9,169,167
8,10,179,176
8,11,172,171
8,12,173,173
8,13,176,168
8,14,157,153
8,15,163,163
8,16,172,172
8,17,164,164
8,18,155,149
8,19,164,147
8,20,185,179
8,21,182,181
8,22,189,187
8,23,169,169
8,24,195,167
8,25,171,144
8,26,159,158
8,27,169,168
9,0,0,0
9,1,0,0
9,2,0,0
9,3,0,0
9,4,0,0
9,5,0,0
9,6,0,0
9,7,0,0
9,8,0,0
9,10,180,171
9,11,178,173
9,12,174,173
9,13,171,151
9,14,151,141
9,15,197,197
9,16,175,174
9,17,178,178
9,18,196,173
