episode,avg_delay
0,0.0
1,0.17647058823529413
2,0.375
3,0.29411764705882354
4,0.25
5,2.6
6,0.625
7,0.0
8,1.0
9,1.6818181818181819
10,0.7142857142857143
11,0.8
12,0.8823529411764706
13,0.6666666666666666
14,0.6428571428571429
15,0.8235294117647058
16,0.47368421052631576
17,0.23529411764705882
18,0.26666666666666666
19,0.8947368421052632
20,0.5416666666666666
21,0.0
22,0.6842105263157895
23,0.6470588235294118
24,1.0714285714285714
25,0.26666666666666666
26,1.2380952380952381
27,0.21052631578947367
28,0.95
29,0.0
30,0.7647058823529411
31,0.35294117647058826
32,0.6842105263157895
33,0.3684210526315789
34,0.15789473684210525
35,1.0
36,0.75
37,0.23529411764705882
38,0.5294117647058824
39,1.0
40,0.0
41,0.8
42,0.6153846153846154
43,0.11764705882352941
44,0.9473684210526315
45,0.391304347826087
46,0.0
47,0.5625
48,0.9090909090909091
49,1.0
50,0.7647058823529411
51,0.8333333333333334
52,0.7142857142857143
53,0.3333333333333333
54,0.7619047619047619
55,0.47619047619047616
56,0.2777777777777778
57,0.0
58,1.0
59,0.3684210526315789
60,0.23076923076923078
61,0.5333333333333333
62,1.0833333333333333
63,0.4444444444444444
64,0.6296296296296297
65,0.12
66,0.6
67,0.0
68,0.7272727272727273
69,0.6923076923076923
70,0.7
71,0.7333333333333333
72,0.6818181818181818
73,0.35
74,0.6190476190476191
75,0.0
76,1.0833333333333333
77,0.5
78,0.0
79,0.6666666666666666
80,1.0588235294117647
81,0.23809523809523808
82,0.6
83,1.125
84,0.5789473684210527
85,1.1111111111111112
86,0.9411764705882353
87,0.4
88,0.5
89,0.75
90,0.8181818181818182
91,1.4375
92,0.06666666666666667
93,1.3333333333333333
94,0.6
95,0.0
96,1.4
97,1.05
98,0.35714285714285715
99,0.8
100,0.9090909090909091
101,0.3
102,0.7857142857142857
103,0.3333333333333333
104,1.2380952380952381
105,0.16666666666666666
106,1.1111111111111112
107,0.45
108,0.3125
109,0.65
110,0.7222222222222222
111,0.2
112,0.625
113,0.0
114,0.16666666666666666
115,1.0
116,0.8666666666666667
117,0.2
118,0.07692307692307693
119,1.65
120,0.85
121,0.21428571428571427
122,0.5294117647058824
123,1.0
124,0.7619047619047619
125,0.625
126,0.625
127,0.14285714285714285
128,1.0666666666666667
129,0.4166666666666667
130,0.8571428571428571
131,0.5
132,0.3333333333333333
133,0.0
134,0.0
135,1.3846153846153846
136,0.5
137,0.7391304347826086
138,0.625
139,0.6153846153846154
140,0.85
141,0.0
142,0.14285714285714285
143,0.5
144,0.6923076923076923
145,0.6428571428571429
146,1.0
147,1.2
148,1.2272727272727273
149,0.75
150,0.42857142857142855
151,0.6
152,0.13043478260869565
153,1.0
154,0.15789473684210525
155,0.38461538461538464
156,0.6818181818181818
157,0.7894736842105263
158,0.5555555555555556
159,0.7777777777777778
160,0.25
161,0.08333333333333333
162,1.75
163,0.36363636363636365
164,0.5555555555555556
165,0.46153846153846156
166,0.0
167,0.9375
168,0.5
169,0.0
170,0.7
171,0.8181818181818182
172,1.0
173,1.4545454545454546
174,0.20833333333333334
175,0.8181818181818182
176,0.4166666666666667
177,0.0
178,1.2
179,1.6666666666666667
180,1.625
181,0.0
182,0.6
183,0.21428571428571427
184,1.0
185,1.0625
186,0.7
187,0.42857142857142855
188,0.46153846153846156
189,0.2222222222222222
190,0.8125
191,0.2777777777777778
192,1.0555555555555556
193,0.47368421052631576
194,0.375
195,0.0
196,0.16666666666666666
197,1.2857142857142858
198,0.36363636363636365
199,1.4
200,1.1176470588235294
201,0.3333333333333333
202,0.3333333333333333
203,0.1111111111111111
204,1.2857142857142858
205,0.7368421052631579
206,0.75
207,0.3333333333333333
208,0.5238095238095238
209,0.34782608695652173
210,0.0
211,0.5714285714285714
212,1.125
213,0.3333333333333333
214,1.25
215,0.0
216,1.0909090909090908
217,0.8235294117647058
218,0.7619047619047619
219,0.2631578947368421
220,0.0
221,0.7058823529411765
222,0.46153846153846156
223,1.0666666666666667
224,0.8125
225,0.7894736842105263
226,0.8888888888888888
227,0.3333333333333333
228,0.8571428571428571
229,0.05263157894736842
230,0.6666666666666666
231,0.375
232,0.7894736842105263
233,0.15789473684210525
234,0.5238095238095238
235,0.0
236,0.5
237,0.9230769230769231
238,0.7142857142857143
239,0.9090909090909091
240,1.5
241,0.7058823529411765
242,0.5454545454545454
243,0.3125
244,0.10526315789473684
245,0.3333333333333333
246,1.6842105263157894
247,0.0
248,0.6363636363636364
249,0.7058823529411765
250,1.0869565217391304
251,0.38461538461538464
252,0.4166666666666667
253,0.5333333333333333
254,0.38461538461538464
255,0.18181818181818182
256,1.4
257,0.7391304347826086
258,0.2222222222222222
259,0.7368421052631579
260,0.6
261,0.8571428571428571
262,0.0
263,0.23076923076923078
264,0.06666666666666667
265,0.08333333333333333
266,0.75
267,1.588235294117647
268,0.0
269,0.5
270,1.1333333333333333
271,0.8888888888888888
272,0.9166666666666666
273,0.9411764705882353
274,0.7368421052631579
275,0.3333333333333333
276,1.2142857142857142
277,0.36363636363636365
278,1.2222222222222223
279,0.35294117647058826
280,0.7333333333333333
281,0.4375
282,0.3333333333333333
283,1.1764705882352942
284,0.42857142857142855
285,0.0
286,0.25
287,0.9333333333333333
288,0.2857142857142857
289,1.0869565217391304
290,0.65
291,0.25
292,0.06666666666666667
293,0.6666666666666666
294,0.6153846153846154
295,0.7
296,0.6333333333333333
297,0.5909090909090909
298,0.5263157894736842
299,0.29411764705882354
300,0.9166666666666666
301,0.2222222222222222
302,1.0
303,0.6363636363636364
304,0.3181818181818182
305,0.21052631578947367
306,0.7
307,0.5454545454545454
308,0.26666666666666666
309,0.6
310,0.0
311,1.4
312,0.25
313,0.0
314,0.7692307692307693
315,0.8333333333333334
316,0.9375
317,0.46153846153846156
318,0.0
319,0.07692307692307693
320,0.21428571428571427
321,1.3846153846153846
322,1.1111111111111112
323,0.5384615384615384
324,0.35714285714285715
325,1.0526315789473684
326,0.6
327,0.7058823529411765
328,0.3333333333333333
329,0.5454545454545454
330,1.1428571428571428
331,1.6
332,0.09090909090909091
333,0.5
334,0.6428571428571429
335,1.0
336,0.26666666666666666
337,1.2857142857142858
338,0.5555555555555556
339,0.3333333333333333
340,0.5333333333333333
341,1.0476190476190477
342,0.0
343,1.2857142857142858
344,0.5
345,0.9230769230769231
346,0.7857142857142857
347,0.4
348,0.7647058823529411
349,0.4444444444444444
350,1.2
351,0.5
352,0.6363636363636364
353,0.07692307692307693
354,0.2
355,0.0
356,1.0
357,0.0
358,1.3076923076923077
359,0.7619047619047619
360,0.0
361,0.6666666666666666
362,0.3333333333333333
363,0.75
364,1.4444444444444444
365,0.7368421052631579
366,0.42857142857142855
367,0.6153846153846154
368,0.0
369,0.0
370,0.5
371,0.0
372,0.8
373,0.9473684210526315
374,0.4782608695652174
375,0.34782608695652173
376,0.0625
377,0.9285714285714286
378,0.5
379,0.0
380,0.625
381,0.3333333333333333
382,0.5
383,1.5909090909090908
384,0.4444444444444444
385,1.0526315789473684
386,0.5454545454545454
387,1.0
388,1.1428571428571428
389,0.9473684210526315
390,0.84
391,0.0
392,1.0
393,0.0
394,1.2222222222222223
395,1.1
396,1.0
397,1.3571428571428572
398,0.0
399,1.0
400,1.1538461538461537
401,0.75
402,0.8461538461538461
403,0.4666666666666667
404,1.0588235294117647
405,0.7142857142857143
406,0.8947368421052632
407,0.35294117647058826
408,0.7777777777777778
409,0.5
410,0.0
411,0.6666666666666666
412,1.7142857142857142
413,1.2307692307692308
414,0.0
415,0.5
416,0.3333333333333333
417,1.1111111111111112
418,0.9333333333333333
419,0.14285714285714285
420,0.0
421,1.2222222222222223
422,0.42857142857142855
423,0.2857142857142857
424,0.95
425,0.6666666666666666
426,0.34782608695652173
427,0.42105263157894735
428,0.2857142857142857
429,1.263157894736842
430,1.1875
431,0.07142857142857142
432,0.7777777777777778
433,0.2
434,0.16666666666666666
435,1.0
436,0.3076923076923077
437,1.0625
438,0.6111111111111112
439,0.3333333333333333
440,0.0
441,0.7142857142857143
442,0.3333333333333333
443,1.3076923076923077
444,1.1428571428571428
445,0.8333333333333334
446,1.105263157894737
447,0.3125
448,1.2352941176470589
449,0.11764705882352941
450,0.375
451,0.375
452,1.0434782608695652
453,0.375
454,0.5333333333333333
455,0.0
456,0.9090909090909091
457,0.0
458,0.0
459,1.5
460,0.6875
461,0.6428571428571429
462,0.5833333333333334
463,0.625
464,0.7272727272727273
465,0.5
466,0.4166666666666667
467,0.8125
468,1.3157894736842106
469,0.47058823529411764
470,0.6
471,0.2
472,0.09090909090909091
473,0.45454545454545453
474,0.9655172413793104
475,0.29411764705882354
476,0.26666666666666666
477,0.3
478,0.5
479,1.0
480,0.7692307692307693
481,0.0
482,0.6666666666666666
483,0.4444444444444444
484,1.2272727272727273
485,0.2222222222222222
486,0.7222222222222222
487,0.0
488,1.0
489,0.875
490,1.08
491,0.26666666666666666
492,0.8235294117647058
493,0.8260869565217391
494,0.38461538461538464
495,1.2666666666666666
496,1.0
497,0.7333333333333333
498,0.631578947368421
499,0.8461538461538461
500,0.0
501,0.21052631578947367
502,0.25
503,0.7333333333333333
504,0.5
505,1.0
506,0.8888888888888888
507,1.8181818181818181
508,1.0
509,1.2
510,0.9285714285714286
511,1.3333333333333333
512,0.8181818181818182
513,1.1818181818181819
514,1.5416666666666667
515,0.43478260869565216
516,0.5
517,0.8636363636363636
518,0.5238095238095238
519,0.4444444444444444
520,0.0
521,1.5
522,0.5833333333333334
523,0.7857142857142857
524,0.4166666666666667
525,0.625
526,0.6666666666666666
527,0.35714285714285715
528,0.5
