src,dst,generated,served,served1
0,1,238,236,1180
0,2,197,196,980
0,3,203,203,1015
0,4,223,219,1095
0,5,210,205,1025
0,6,208,197,985
0,7,204,195,975
0,8,234,226,1130
0,9,233,220,1100
0,10,217,216,1080
0,11,214,214,1070
0,12,229,202,1010
0,13,197,195,975
0,14,212,211,1055
0,15,205,187,935
0,16,224,196,980
0,17,209,169,845
0,18,228,224,1120
0,19,227,219,1095
0,20,201,197,985
0,21,217,189,945
0,22,214,150,750
0,23,202,117,585
0,24,219,215,1075
0,25,197,194,970
0,26,214,132,660
0,27,227,116,580
1,2,219,218,1090
1,3,220,219,1095
1,4,209,206,1030
1,5,230,197,985
1,6,226,194,970
1,7,228,203,1015
1,8,211,198,990
1,9,225,198,990
1,10,197,197,985
1,11,206,204,1020
1,12,209,174,870
1,13,201,196,980
1,14,219,216,1080
1,15,213,196,980
1,16,208,165,825
1,17,241,180,900
1,18,213,211,1055
1,19,188,176,880
1,20,203,198,990
1,21,227,182,910
1,22,242,159,795
1,23,190,111,555
1,24,236,230,1150
1,25,206,204,1020
1,26,225,111,555
1,27,216,119,595
2,3,209,209,1045
2,4,192,190,950
2,5,228,215,1075
2,6,245,223,1115
2,7,230,214,1070
2,8,227,214,1070
2,9,207,185,925
2,10,226,226,1130
2,11,210,208,1040
2,12,234,205,1025
2,13,193,192,960
2,14,210,210,1050
2,15,220,212,1060
2,16,203,162,810
2,17,206,161,805
2,18,198,191,955
2,19,200,195,975
2,20,218,217,1085
2,21,216,181,905
2,22,219,152,760
2,23,206,135,675
2,24,198,193,965
2,25,206,204,1020
2,26,175,107,535
2,27,203,119,595
3,4,173,171,855
3,5,208,188,940
3,6,237,210,1050
3,7,208,193,965
3,8,211,202,1010
3,9,218,195,975
3,10,198,198,990
3,11,203,202,1010
3,12,215,184,920
3,13,209,209,1045
3,14,227,225,1125
3,15,199,188,940
3,16,202,163,815
3,17,235,168,840
3,18,213,206,1030
3,19,241,237,1185
3,20,225,221,1105
3,21,210,161,805
3,22,221,121,605
3,23,175,87,435
3,24,212,201,1005
3,25,196,191,955
3,26,195,72,360
3,27,243,92,460
4,5,191,182,910
4,6,217,207,1035
4,7,195,178,890
4,8,222,217,1085
4,9,227,209,1045
4,10,207,205,1025
4,11,196,194,970
4,12,229,202,1010
4,13,203,203,1015
4,14,226,224,1120
4,15,211,198,990
4,16,209,185,925
4,17,213,168,840
4,18,218,216,1080
4,19,207,202,1010
4,20,211,206,1030
4,21,213,183,915
4,22,203,119,595
4,23,225,121,605
4,24,224,208,1040
4,25,220,211,1055
4,26,213,100,500
4,27,203,67,335
5,6,225,224,1120
5,7,233,231,1155
5,8,197,193,965
5,9,204,202,1010
5,10,226,152,760
5,11,199,149,745
5,12,209,204,1020
5,13,221,122,610
5,14,230,142,710
5,15,214,208,1040
5,16,246,243,1215
5,17,233,232,1160
5,18,238,137,685
5,19,177,85,425
5,20,211,103,515
5,21,195,188,940
5,22,236,226,1130
5,23,202,197,985
5,24,215,88,440
5,25,235,93,465
5,26,202,195,975
5,27,207,198,990
6,7,213,213,1065
6,8,212,209,1045
6,9,222,222,1110
6,10,201,139,695
6,11,227,177,885
6,12,205,203,1015
6,13,202,112,560
6,14,221,138,690
6,15,200,194,970
6,16,203,198,990
6,17,206,204,1020
6,18,219,110,550
6,19,213,85,425
6,20,249,109,545
6,21,184,178,890
6,22,220,215,1075
6,23,209,200,1000
