src,dst,generated,served,served1
0,1,230,229,1145
0,2,220,219,1095
0,3,202,201,1005
0,4,222,222,1110
0,5,226,169,845
0,6,208,141,705
0,7,197,148,740
0,8,220,189,945
0,9,221,161,805
0,10,225,223,1115
0,11,208,204,1020
0,12,215,165,825
0,13,188,188,940
0,14,208,206,1030
0,15,219,203,1015
0,16,231,184,920
0,17,233,175,875
0,18,242,236,1180
0,19,218,215,1075
0,20,194,190,950
0,21,225,205,1025
0,22,223,170,850
0,23,201,127,635
0,24,236,232,1160
0,25,240,239,1195
0,26,204,171,855
0,27,221,142,710
1,2,218,218,1090
1,3,208,208,1040
1,4,221,221,1105
1,5,226,127,635
1,6,232,101,505
1,7,223,113,565
1,8,221,136,680
1,9,249,130,650
1,10,207,207,1035
1,11,220,215,1075
1,12,213,98,490
1,13,197,196,980
1,14,212,210,1050
1,15,238,178,890
1,16,214,117,585
1,17,225,113,565
1,18,216,214,1070
1,19,210,207,1035
1,20,214,212,1060
1,21,214,175,875
1,22,219,121,605
1,23,228,107,535
1,24,216,213,1065
1,25,200,198,990
1,26,236,163,815
1,27,223,132,660
2,3,213,211,1055
2,4,198,196,980
2,5,240,159,795
2,6,211,108,540
2,7,223,127,635
2,8,224,182,910
2,9,214,120,600
2,10,200,200,1000
2,11,238,238,1190
2,12,223,133,665
2,13,210,207,1035
2,14,211,209,1045
2,15,204,179,895
2,16,226,138,690
2,17,202,111,555
2,18,203,202,1010
2,19,237,232,1160
2,20,219,219,1095
2,21,213,195,975
2,22,225,130,650
2,23,205,103,515
2,24,195,195,975
2,25,192,190,950
2,26,221,179,895
2,27,204,122,610
3,4,216,216,1080
3,5,194,149,745
3,6,216,117,585
3,7,219,154,770
3,8,208,190,950
3,9,224,150,750
3,10,200,200,1000
3,11,211,208,1040
3,12,231,192,960
3,13,224,224,1120
3,14,218,218,1090
3,15,219,211,1055
3,16,225,175,875
3,17,217,162,810
3,18,233,232,1160
3,19,223,221,1105
3,20,208,208,1040
3,21,231,188,940
3,22,206,134,670
3,23,227,123,615
3,24,196,193,965
3,25,193,192,960
3,26,213,141,705
3,27,220,125,625
4,5,230,208,1040
4,6,214,182,910
4,7,214,199,995
4,8,230,224,1120
4,9,205,186,930
4,10,221,220,1100
4,11,221,220,1100
4,12,240,222,1110
4,13,204,202,1010
4,14,215,214,1070
4,15,194,187,935
4,16,206,185,925
4,17,209,184,920
4,18,232,231,1155
4,19,204,200,1000
4,20,226,222,1110
4,21,228,215,1075
4,22,237,193,965
4,23,235,178,890
4,24,196,191,955
4,25,207,196,980
4,26,213,174,870
4,27,224,154,770
5,6,210,208,1040
5,7,227,226,1130
5,8,224,224,1120
5,9,224,222,1110
5,10,214,108,540
5,11,201,146,730
5,12,237,237,1185
5,13,203,109,545
5,14,224,150,750
5,15,247,240,1200
5,16,244,241,1205
5,17,238,235,1175
5,18,233,164,820
5,19,203,93,465
5,20,207,107,535
5,21,190,187,935
5,22,232,230,1150
5,23,215,212,1060
5,24,221,115,575
5,25,234,129,645
5,26,238,228,1140
5,27,203,200,1000
6,7,231,230,1150
6,8,217,216,1080
6,9,206,204,1020
6,10,223,115,575
6,11,227,166,830
6,12,232,230,1150
6,13,230,116,580
6,14,224,138,690
6,15,211,209,1045
6,16,242,240,1200
6,17,230,229,1145
6,18,228,151,755
6,19,194,93,465
6,20,206,120,600
6,21,235,227,1135
6,22,217,212,1060
6,23,225,223,1115
6,24,233,124,620
6,25,216,127,635
6,26,200,197,985
6,27,223,221,1105
7,8,248,247,1235
7,9,229,225,1125
7,10,219,157,785
7,11,212,192,960
7,12,191,189,945
7,13,227,131,655
7,14,218,170,850
7,15,207,206,1030
7,16,223,219,1095
7,17,224,219,1095
7,18,220,174,870
7,19,190,95,475
7,20,231,134,670
7,21,240,233,1165
7,22,243,239,1195
7,23,207,204,1020
7,24,229,110,550
7,25,239,118,590
7,26,214,208,1040
7,27,235,230,1150
8,9,224,223,1115
8,10,221,213,1065
8,11,198,194,970
8,12,224,224,1120
8,13,219,189,945
8,14,219,202,1010
8,15,213,212,1060
8,16,213,212,1060
8,17,218,218,1090
8,18,207,190,950
8,19,217,147,735
8,20,234,188,940
8,21,235,233,1165
