src,dst,generated,served
0,1,2146,2146
0,2,2141,2138
0,3,2239,2176
0,4,2166,2165
0,5,2160,2160
0,6,2218,1893
0,7,2230,847
0,8,2139,2134
0,9,2165,2000
0,10,2189,179
0,11,2178,36
0,12,2197,1927
0,13,2140,1107
0,14,2148,48
0,15,2144,9
1,2,2227,2227
1,3,2146,2144
1,4,2145,2144
1,5,2197,2197
1,6,2162,2161
1,7,2104,1672
1,8,2192,1903
1,9,2199,2192
1,10,2150,1185
1,11,2154,235
1,12,2168,1133
1,13,2180,1603
1,14,2145,231
1,15,2136,55
2,3,2164,2164
2,4,2208,2114
2,5,2124,2124
2,6,2172,2172
2,7,2160,2159
2,8,2224,320
2,9,2158,1132
2,10,2121,2097
2,11,2184,1769
2,12,2160,51
2,13,2186,272
2,14,2186,1637
2,15,2258,1154
3,4,2226,1240
3,5,2206,2024
3,6,2184,2184
3,7,2237,2237
3,8,2170,69
3,9,2237,201
3,10,2212,1846
3,11,2147,2121
3,12,2195,26
3,13,2184,120
3,14,2215,1191
3,15,2154,1700
4,5,2145,2144
4,6,2221,2209
4,7,2186,1637
4,8,2193,2193
4,9,2142,2135
4,10,2088,1135
4,11,2143,253
4,12,2238,2207
4,13,2227,1933
4,14,2221,577
4,15,2193,155
5,6,2225,2225
5,7,2111,2086
5,8,2123,2115
5,9,2139,2139
5,10,2172,2151
5,11,2106,1113
5,12,2118,1826
5,13,2165,2124
5,14,2138,1485
5,15,2243,421
6,7,2180,2180
6,8,2172,1281
6,9,2134,2098
6,10,2247,2247
6,11,2250,2234
6,12,2253,398
6,13,2149,1497
6,14,2210,2170
6,15,2143,1921
7,8,2201,409
7,9,2188,1377
7,10,2171,2161
7,11,2113,2112
7,12,2105,251
7,13,2239,804
7,14,2153,2007
7,15,2172,2155
8,9,2194,2194
8,10,2163,2124
8,11,2197,1782
8,12,2213,2213
8,13,2159,2159
8,14,2248,2094
8,15,2151,1357
9,10,2152,2152
9,11,2145,2084
9,12,2201,2201
9,13,2085,2085
9,14,2163,2155
9,15,2112,1901
10,11,2186,2186
10,12,2207,1924
10,13,2175,2161
10,14,2112,2112
10,15,2192,2192
11,12,2154,1148
11,13,2161,1704
11,14,2222,2221
11,15,2135,2135
12,13,2170,2170
12,14,2166,2107
12,15,2221,1450
13,14,2054,2052
13,15,2226,2106
14,15,2220,2220
