src,dst,generated,served
0,1,767,762
0,2,768,699
0,3,775,626
0,4,765,640
0,5,756,754
0,6,743,742
0,7,751,679
0,8,773,623
0,9,753,619
0,10,739,680
0,11,728,670
0,12,756,637
0,13,754,576
0,14,810,617
0,15,792,657
0,16,755,618
0,17,813,622
0,18,763,574
0,19,790,621
0,20,767,634
0,21,819,671
0,22,763,600
0,23,757,581
0,24,769,590
1,2,738,665
1,3,764,635
1,4,782,644
1,5,771,770
1,6,799,797
1,7,752,678
1,8,783,648
1,9,772,623
1,10,763,697
1,11,780,712
1,12,818,700
1,13,782,616
1,14,732,584
1,15,771,619
1,16,791,655
1,17,766,592
1,18,800,624
1,19,777,591
1,20,730,602
1,21,771,650
1,22,747,598
1,23,762,572
1,24,815,634
2,3,769,706
2,4,765,690
2,5,711,637
2,6,774,704
2,7,768,762
2,8,713,656
2,9,745,659
2,10,778,644
2,11,782,675
2,12,712,630
2,13,738,628
2,14,738,613
2,15,800,624
2,16,770,622
2,17,758,619
2,18,797,642
2,19,772,627
2,20,757,608
2,21,757,602
2,22,767,598
2,23,742,577
2,24,770,609
3,4,775,773
3,5,724,615
3,6,768,632
3,7,748,672
3,8,760,757
3,9,762,757
3,10,738,572
3,11,787,628
3,12,787,651
3,13,733,664
3,14,774,700
3,15,771,602
3,16,784,586
3,17,800,643
3,18,754,622
3,19,768,629
3,20,770,600
3,21,703,540
3,22,785,595
3,23,790,665
3,24,752,636
4,5,780,647
4,6,743,607
4,7,856,786
4,8,813,811
4,9,799,791
4,10,765,607
4,11,751,587
4,12,758,637
4,13,831,751
4,14,771,687
4,15,755,575
4,16,767,585
4,17,718,557
4,18,829,677
4,19,792,657
4,20,793,604
4,21,850,660
4,22,829,649
4,23,731,608
4,24,747,624
5,6,774,774
5,7,754,679
5,8,776,633
5,9,768,631
5,10,787,729
5,11,750,681
5,12,726,597
5,13,772,613
5,14,758,603
5,15,825,682
5,16,779,650
5,17,792,626
5,18,803,620
5,19,770,601
5,20,785,646
5,21,746,615
5,22,768,616
5,23,740,585
5,24,823,622
6,7,795,711
6,8,804,659
6,9,783,637
6,10,775,707
6,11,827,763
6,12,824,680
6,13,823,648
6,14,788,624
6,15,764,627
6,16,799,659
6,17,764,609
6,18,772,593
6,19,799,621
6,20,799,676
6,21,809,677
6,22,766,627
6,23,793,623
6,24,824,637
7,8,820,743
7,9,779,695
7,10,755,640
7,11,764,654
7,12,780,688
7,13,714,612
7,14,798,661
7,15,743,595
7,16,723,587
7,17,742,621
7,18,719,563
7,19,795,629
7,20,809,672
7,21,793,645
7,22,771,630
7,23,773,618
7,24,752,588
8,9,783,778
8,10,733,575
8,11,787,619
8,12,759,634
8,13,779,703
8,14,767,707
8,15,763,590
8,16,722,544
8,17,726,567
8,18,816,674
8,19,775,651
8,20,813,620
8,21,792,609
8,22,799,633
8,23,762,626
8,24,805,656
9,10,784,635
9,11,744,590
9,12,759,633
9,13,733,669
9,14,768,697
9,15,772,590
9,16,759,578
9,17,740,588
9,18,772,629
9,19,748,620
9,20,807,628
9,21,750,592
9,22,797,647
9,23,815,674
9,24,759,632
10,11,805,804
10,12,747,658
10,13,773,610
10,14,790,645
10,15,767,693
10,16,797,708
10,17,734,627
10,18,802,631
10,19,775,639
10,20,787,710
10,21,744,668
10,22,730,615
10,23,799,644
10,24,737,585
11,12,791,716
11,13,773,644
11,14,796,652
11,15,717,652
11,16,762,679
11,17,775,659
11,18,808,650
11,19,738,571
11,20,787,708
11,21,759,686
11,22,783,659
11,23,768,621
11,24,805,631
12,13,773,676
12,14,767,691
12,15,792,639
12,16,790,671
12,17,794,714
12,18,791,668
12,19,777,663
12,20,797,667
12,21,768,649
12,22,789,698
12,23,776,673
12,24,806,680
13,14,733,732
13,15,742,595
13,16,765,620
13,17,764,654
13,18,762,702
13,19,731,647
13,20,806,629
13,21,741,598
13,22,765,637
13,23,724,659
13,24,792,706
14,15,742,575
14,16,724,577
14,17,800,686
14,18,759,689
14,19,781,713
14,20,733,577
14,21,784,649
14,22,775,635
14,23,742,669
14,24,721,648
15,16,802,796
15,17,797,744
15,18,810,699
15,19,782,660
15,20,787,782
15,21,836,831
15,22,758,700
15,23,785,651
15,24,727,621
16,17,816,756
16,18,789,660
16,19,717,609
16,20,748,746
16,21,795,793
16,22,762,703
16,23,746,597
16,24,813,679
17,18,791,726
17,19,787,712
17,20,795,726
17,21,765,693
17,22,768,763
17,23,793,724
17,24,774,722
18,19,768,766
18,20,726,615
18,21,779,652
18,22,775,697
18,23,769,767
18,24,728,726
19,20,754,628
19,21,801,671
19,22,771,698
19,23,788,785
19,24,751,751
20,21,716,714
20,22,734,659
20,23,762,639
20,24,773,654
21,22,781,700
21,23,776,645
21,24,714,601
22,23,742,688
22,24,748,687
23,24,744,740
