episode,avg_delay
0,0.0
1,1.0
2,0.0
3,3.0
4,4.0
5,4.8125
6,5.0
7,5.0
8,2.8
9,1.7222222222222223
10,1.5
11,2.0
12,2.4210526315789473
13,2.5384615384615383
14,3.0
15,0.0
16,4.230769230769231
17,3.8636363636363638
18,4.0
19,3.142857142857143
20,2.230769230769231
21,0.0
22,2.923076923076923
23,0.0
24,3.8461538461538463
25,4.0
26,4.357142857142857
27,2.5
28,1.4666666666666666
29,2.0
30,2.3181818181818183
31,2.0833333333333335
32,2.111111111111111
33,2.0
34,2.8
35,0.0
36,3.4583333333333335
37,4.0
38,4.0
39,2.6842105263157894
40,2.9166666666666665
41,2.15
42,2.0
43,1.4375
44,1.0769230769230769
45,1.5555555555555556
46,2.0
47,3.0
48,3.4
49,3.125
50,2.8666666666666667
51,2.6363636363636362
52,3.0
53,2.7777777777777777
54,2.6153846153846154
55,0.0
56,3.3529411764705883
57,3.25
58,3.857142857142857
59,4.0
60,3.5714285714285716
61,3.2222222222222223
62,2.7857142857142856
63,2.3076923076923075
64,2.4545454545454546
65,2.48
66,2.125
67,2.5
68,2.3846153846153846
69,2.739130434782609
70,2.3333333333333335
71,3.0
72,3.4
73,3.6363636363636362
74,3.433333333333333
75,2.0
76,2.6
77,3.0
78,3.4166666666666665
79,4.0
80,4.722222222222222
81,3.2142857142857144
82,2.6153846153846154
83,2.3125
84,3.0
85,3.230769230769231
86,2.9130434782608696
87,1.96
88,1.125
89,2.0
90,2.4285714285714284
91,2.7
92,2.7777777777777777
93,2.3636363636363638
94,2.0
95,2.3448275862068964
96,1.4285714285714286
97,1.2413793103448276
98,0.9333333333333333
99,1.0
100,1.0833333333333333
101,2.0
102,2.3
103,2.357142857142857
104,2.0
105,2.0
106,2.076923076923077
107,1.736842105263158
108,1.2272727272727273
109,1.4736842105263157
110,1.6
111,2.0
112,2.3461538461538463
113,2.0555555555555554
114,0.0
115,2.375
116,2.1538461538461537
117,0.0
118,1.8461538461538463
119,2.0
120,1.1666666666666667
121,1.0
122,1.1764705882352942
123,1.4545454545454546
124,2.0
125,2.272727272727273
126,3.0
127,3.3333333333333335
128,0.0
129,0.0
130,4.666666666666667
131,4.333333333333333
132,4.0
133,3.0
134,4.0
135,5.0
136,4.8
137,4.923076923076923
138,4.461538461538462
139,2.823529411764706
140,3.0
141,3.0
142,3.0714285714285716
143,2.7083333333333335
144,1.631578947368421
145,1.4666666666666666
146,2.0
147,1.9615384615384615
148,1.6470588235294117
149,1.3888888888888888
150,1.8823529411764706
151,1.6818181818181819
152,2.0
153,3.0
154,3.1666666666666665
155,3.7058823529411766
156,3.8095238095238093
157,3.25
158,2.526315789473684
159,2.064516129032258
160,1.0
161,1.4285714285714286
162,2.0
163,1.8636363636363635
164,1.3636363636363635
165,1.375
166,1.5
167,2.0
168,2.111111111111111
169,0.0
170,3.6153846153846154
171,4.0
172,4.214285714285714
173,3.0
174,2.8333333333333335
175,3.0
176,2.56
177,3.0
178,2.5
179,2.4210526315789473
180,2.823529411764706
181,1.7619047619047619
182,2.0
183,2.125
184,2.15
185,1.6923076923076923
186,1.3636363636363635
187,1.4814814814814814
188,1.75
189,1.3333333333333333
190,0.0
191,2.764705882352941
192,2.4615384615384617
193,1.875
194,1.4210526315789473
195,1.7142857142857142
196,1.625
197,2.0
198,2.2857142857142856
199,3.0
200,3.142857142857143
201,2.8947368421052633
202,2.6666666666666665
203,2.2
204,0.0
205,3.0
206,3.230769230769231
207,0.0
208,3.8823529411764706
209,2.225806451612903
210,1.5
211,2.0
212,2.0588235294117645
213,3.0
214,4.0
215,3.5714285714285716
216,3.2857142857142856
217,3.2142857142857144
218,2.727272727272727
219,3.0
220,2.761904761904762
221,1.435897435897436
222,0.3055555555555556
223,1.0
224,1.0
225,2.0
226,2.8421052631578947
227,2.16
228,1.2608695652173914
229,1.0833333333333333
230,1.6
231,2.0
232,2.125
233,0.0
234,3.388888888888889
235,2.9411764705882355
236,3.0
237,2.8
238,2.206896551724138
239,1.3
240,1.2
241,2.0
242,2.32
243,1.3333333333333333
244,1.0
245,1.4230769230769231
246,2.0
247,2.0
248,2.0
249,2.4444444444444446
250,1.2972972972972974
251,1.0
252,1.04
253,1.7222222222222223
254,1.5
255,2.0
256,3.0
257,3.0
258,4.0
259,4.588235294117647
260,4.875
261,4.666666666666667
262,5.0
263,2.7948717948717947
264,1.0
265,1.0
266,0.0
267,0.0
268,0.0
269,5.0
270,3.2758620689655173
271,0.7777777777777778
272,0.0
273,2.0
274,2.0384615384615383
275,1.3076923076923077
276,1.4230769230769231
277,2.0
278,1.7307692307692308
279,2.0
280,1.9411764705882353
281,2.0
282,2.111111111111111
283,2.0
284,2.4761904761904763
285,2.3157894736842106
286,2.25
287,1.8636363636363635
288,2.0
289,2.111111111111111
290,1.8695652173913044
291,2.0
292,2.1
293,2.5
294,2.0606060606060606
295,0.8947368421052632
296,1.0
297,2.0
298,2.3043478260869565
299,2.375
300,2.227272727272727
301,2.0
302,1.8888888888888888
303,2.0
304,2.5833333333333335
305,2.652173913043478
306,1.9411764705882353
307,1.7142857142857142
308,2.0
309,2.0
310,2.8
311,2.5238095238095237
312,2.8181818181818183
313,1.9545454545454546
314,1.7727272727272727
315,1.2142857142857142
316,1.0
317,2.0
318,2.1538461538461537
319,3.0
320,4.0
321,4.0
322,0.0
323,4.285714285714286
324,2.7241379310344827
325,0.84
326,0.0
327,2.0
328,0.0
329,3.6666666666666665
330,4.0
331,3.0
332,4.0
333,0.0
334,4.0
335,3.75
336,1.8235294117647058
337,1.0476190476190477
338,0.0
339,2.8
340,3.0
341,4.0
342,4.111111111111111
343,4.857142857142857
344,4.0
345,4.2
346,3.9166666666666665
347,2.9285714285714284
348,1.8823529411764706
349,1.25
350,2.0
351,2.7777777777777777
352,3.0
353,3.380952380952381
354,3.875
355,3.1176470588235294
356,2.210526315789474
357,2.5
358,2.1538461538461537
359,2.857142857142857
360,3.0
361,3.111111111111111
362,3.1052631578947367
363,2.3846153846153846
364,2.642857142857143
365,2.2222222222222223
366,2.5555555555555554
367,2.4285714285714284
368,2.0476190476190474
369,1.5
370,1.7222222222222223
371,1.5925925925925926
372,1.8333333333333333
373,1.5
374,2.0
375,1.7
376,0.0
377,3.0
378,2.533333333333333
379,3.0
380,0.0
381,3.625
382,4.0
383,4.0
384,2.8947368421052633
385,3.0
386,3.076923076923077
387,3.0
388,3.1666666666666665
389,3.6923076923076925
390,2.5652173913043477
391,0.0
392,3.142857142857143
393,0.0
394,3.764705882352941
395,0.0
396,4.357142857142857
397,2.7142857142857144
398,1.7272727272727273
399,1.5833333333333333
400,1.2857142857142858
401,2.0
402,2.04
403,1.56
404,1.0
405,1.55
406,1.8421052631578947
407,1.4074074074074074
408,1.25
409,1.5833333333333333
410,1.8461538461538463
411,2.0
412,2.0
413,2.1481481481481484
414,1.9
415,1.2307692307692308
416,1.7727272727272727
417,1.7894736842105263
418,1.375
419,1.411764705882353
420,1.5625
421,2.0
422,2.3684210526315788
423,3.0
424,3.0
425,3.5789473684210527
426,3.2857142857142856
427,3.5714285714285716
428,1.9615384615384615
429,1.4285714285714286
430,1.68
431,1.8181818181818181
432,1.25
433,1.6153846153846154
434,1.6666666666666667
435,1.3529411764705883
436,1.6
437,1.3478260869565217
438,1.1333333333333333
439,1.4615384615384615
440,1.4090909090909092
441,0.0
442,2.0833333333333335
443,2.2
444,1.48
445,1.7142857142857142
446,2.0
447,3.0
448,3.2777777777777777
449,4.0
450,2.5555555555555554
451,2.0
452,2.4
453,2.125
454,3.0
455,3.75
456,4.0
457,3.789473684210526
458,4.0
459,3.375
